Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Head2Head Win,Head2Head Draw,Winner
2018-2019,Crystal Palace,Liverpool,0,2,955,1149,51,53,80,29,27.84,25.28,50.0,25.45,44,0,-1
2018-2019,Wolves,Manchester City,1,1,681,1270,53,96,43,26,20.65,27.1,44.4,23.99,0,0,0
2018-2019,Arsenal,West Ham,3,1,1034,911,65,57,48,66,54.34,25.22,32.47,26.09,56,22,1
2018-2019,Huddersfield,Cardiff City,0,0,604,536,29,42,68,66,21.95,26.83,17.07,26.83,0,0,0
2018-2019,Southampton,Leicester City,1,2,876,943,50,59,52,45,31.07,27.54,31.1,27.86,22,33,-1
2018-2019,Bournemouth,Everton,2,2,956,966,59,54,62,49,30.77,26.5,36.19,28.81,29,14,0
2018-2019,Liverpool,Brighton,1,0,1151,672,80,29,37,62,50.05,25.42,24.39,31.71,67,0,1
2018-2019,Watford,Crystal Palace,2,1,907,936,52,63,51,53,24.87,22.28,27.76,25.21,14,29,1
2018-2019,Fulham,Burnley,4,2,770,894,43,74,45,66,30.38,27.36,25.81,24.52,0,0,1
2018-2019,Newcastle Utd,Chelsea,1,2,894,1128,40,58,64,38,37.74,25.54,53.84,24.73,29,14,-1
2018-2019,Manchester Utd,Tottenham,0,3,1114,1196,69,52,62,49,62.81,21.44,42.47,25.42,44,11,-1
2018-2019,Leicester City,Liverpool,1,2,936,1158,52,45,80,29,31.03,27.8,50.1,25.4,22,11,-1
2018-2019,Chelsea,Bournemouth,2,0,1137,947,64,38,59,62,53.88,24.7,30.51,26.27,57,0,1
2018-2019,Everton,Huddersfield,1,1,954,616,54,29,49,68,36.16,28.88,21.43,28.57,67,0,0
2018-2019,Crystal Palace,Southampton,0,2,917,895,51,53,50,59,27.68,25.14,31.17,27.51,33,0,-1
2018-2019,Brighton,Fulham,2,2,676,766,37,43,62,73,23.81,33.33,30.32,27.51,0,0,0
2018-2019,West Ham,Wolves,0,1,886,706,48,66,53,43,32.43,26.06,21.15,26.92,0,0,-1
2018-2019,Manchester City,Newcastle Utd,2,1,1273,891,96,26,40,58,44.47,23.96,37.7,25.51,71,14,1
2018-2019,Cardiff City,Arsenal,2,3,534,1036,42,66,65,57,16.67,26.19,54.38,25.2,0,0,-1
2018-2019,Burnley,Manchester Utd,0,2,887,1121,45,66,69,52,25.64,24.36,62.85,21.41,0,43,-1
2018-2019,Watford,Tottenham,2,1,934,1169,52,63,62,49,25.26,22.16,42.43,25.4,0,14,1
2018-2019,Tottenham,Liverpool,1,2,1152,1175,62,49,80,29,42.39,25.37,50.15,25.37,11,44,-1
2018-2019,Huddersfield,Crystal Palace,0,1,611,922,29,68,51,53,20.93,27.91,27.89,25.07,33,0,-1
2018-2019,Newcastle Utd,Arsenal,1,2,881,1046,40,58,65,57,37.66,25.48,54.43,25.17,14,0,-1
2018-2019,Chelsea,Cardiff City,4,1,1138,533,64,38,42,66,53.93,24.68,16.28,25.58,0,0,1
2018-2019,Manchester City,Fulham,3,0,1275,764,96,26,43,73,44.54,23.93,30.26,27.45,0,0,1
2018-2019,Bournemouth,Leicester City,4,2,962,921,59,62,52,45,31.09,26.05,30.97,27.74,14,71,1
2018-2019,Watford,Manchester Utd,1,2,926,1129,52,63,69,52,25.13,22.05,62.89,21.39,14,0,-1
2018-2019,Wolves,Burnley,1,0,730,863,53,43,45,66,21.66,26.75,25.48,24.2,0,0,1
2018-2019,Everton,West Ham,1,3,935,905,54,49,48,66,36.12,28.86,32.51,26.03,44,22,-1
2018-2019,Southampton,Brighton,2,2,886,685,50,37,59,62,31.12,27.6,23.26,34.88,0,67,0
2018-2019,Fulham,Watford,1,1,771,919,43,52,73,63,30.2,27.6,25.0,22.45,0,0,0
2018-2019,Crystal Palace,Newcastle Utd,0,0,920,883,51,40,53,58,27.81,25.28,37.61,25.56,14,43,0
2018-2019,Leicester City,Huddersfield,3,1,926,606,52,45,29,68,31.12,27.68,20.45,27.27,33,33,1
2018-2019,Burnley,Bournemouth,4,0,883,942,45,66,59,62,25.95,24.05,30.83,25.83,40,0,1
2018-2019,Manchester Utd,Wolves,1,1,1116,743,69,53,52,43,62.82,21.47,21.52,27.22,0,0,0
2018-2019,Liverpool,Southampton,3,0,1180,881,80,29,50,59,50.2,25.35,31.08,27.57,44,33,1
2018-2019,Cardiff City,Manchester City,0,5,533,1275,42,66,96,26,15.91,25.0,44.61,23.9,0,0,-1
2018-2019,Brighton,Tottenham,1,2,683,1154,37,62,62,49,22.73,34.09,42.45,25.35,0,33,-1
2018-2019,West Ham,Chelsea,0,0,914,1129,48,65,66,38,32.47,26.12,53.88,24.75,22,22,0
2018-2019,Arsenal,Everton,2,0,1057,924,65,57,54,49,54.47,25.15,36.08,28.83,67,11,1
2018-2019,West Ham,Manchester Utd,3,1,938,1092,48,66,69,52,32.55,26.09,62.76,21.45,11,44,1
2018-2019,Huddersfield,Tottenham,0,2,605,1155,29,68,62,49,20.0,26.67,42.5,25.32,0,0,-1
2018-2019,Newcastle Utd,Leicester City,0,2,869,940,40,58,52,45,37.57,25.53,31.26,27.62,29,0,-1
2018-2019,Everton,Fulham,3,0,933,762,54,49,43,73,36.15,28.8,30.14,27.54,0,0,1
2018-2019,Arsenal,Watford,2,0,1067,909,65,57,52,63,54.52,25.12,24.87,22.34,57,0,1
2018-2019,Manchester City,Brighton,2,0,1276,682,97,26,37,62,44.68,23.87,22.22,33.33,67,0,1
2018-2019,Wolves,Southampton,2,0,765,859,53,43,50,59,22.01,27.04,31.04,27.53,0,0,1
2018-2019,Chelsea,Liverpool,1,1,1131,1178,65,80,38,29,53.82,24.83,50.15,25.42,22,44,0
2018-2019,Cardiff City,Burnley,1,2,529,887,42,66,46,65,15.56,24.44,26.42,23.9,0,0,-1
2018-2019,Bournemouth,Crystal Palace,2,1,957,905,59,62,51,53,31.4,25.62,27.73,25.21,14,57,1
2018-2019,Brighton,West Ham,1,0,708,912,37,62,48,66,23.91,32.61,32.51,26.06,67,0,1
2018-2019,Watford,Bournemouth,0,4,895,971,52,63,59,62,24.75,22.22,31.97,25.41,14,71,-1
2018-2019,Burnley,Huddersfield,1,1,876,616,46,29,65,68,26.25,24.38,19.57,28.26,0,67,0
2018-2019,Crystal Palace,Wolves,0,1,883,787,51,53,53,43,27.65,25.14,22.5,26.88,0,0,-1
2018-2019,Tottenham,Cardiff City,1,0,1156,528,62,49,42,66,42.56,25.3,15.22,23.91,0,0,1
2018-2019,Leicester City,Everton,1,2,924,949,52,45,54,49,31.2,27.56,36.21,28.77,33,22,-1
2018-2019,Manchester Utd,Newcastle Utd,3,2,1099,862,69,52,40,58,62.8,21.43,37.53,25.51,43,29,1
2018-2019,Fulham,Arsenal,1,5,757,1072,43,73,65,57,30.08,27.49,54.56,25.1,0,0,-1
2018-2019,Southampton,Chelsea,0,3,853,1137,50,59,65,38,31.0,27.49,53.87,24.8,11,22,-1
2018-2019,Liverpool,Manchester City,0,0,1182,1272,80,97,29,26,50.1,25.5,44.62,23.96,56,11,0
2018-2019,Chelsea,Manchester Utd,2,2,1135,1101,65,69,38,52,53.82,24.88,62.74,21.51,33,33,0
2018-2019,Cardiff City,Fulham,4,2,553,732,42,66,43,73,17.02,23.4,30.02,27.44,0,0,1
2018-2019,Wolves,Watford,0,2,776,906,53,43,52,63,22.36,26.71,25.13,22.11,0,0,-1
2018-2019,Newcastle Utd,Brighton,0,1,839,731,40,58,37,62,37.49,25.48,25.53,31.91,0,33,-1
2018-2019,Bournemouth,Southampton,0,0,966,858,60,50,61,59,31.71,26.02,30.96,27.59,14,29,0
2018-2019,West Ham,Tottenham,0,1,906,1162,48,66,62,49,32.47,26.03,42.62,25.27,22,22,-1
2018-2019,Manchester City,Burnley,5,0,1275,873,97,26,46,65,44.69,23.93,26.09,24.22,43,29,1
2018-2019,Huddersfield,Liverpool,0,1,615,1183,29,68,80,29,19.15,27.66,50.15,25.47,0,0,-1
2018-2019,Everton,Crystal Palace,2,0,962,870,54,49,51,53,36.27,28.74,27.58,25.07,33,44,1
2018-2019,Arsenal,Leicester City,3,1,1082,914,66,56,52,45,54.61,25.07,31.13,27.51,56,22,1
2018-2019,Southampton,Newcastle Utd,0,0,857,840,50,40,59,58,30.91,27.69,37.44,25.56,43,29,0
2018-2019,Fulham,Bournemouth,0,3,725,973,43,73,60,61,29.96,27.38,32.26,25.81,0,0,-1
2018-2019,Liverpool,Cardiff City,4,1,1184,552,80,29,42,65,50.2,25.45,16.67,22.92,0,0,1
2018-2019,Watford,Huddersfield,3,0,911,610,52,63,29,68,25.5,22.0,18.75,27.08,0,0,1
2018-2019,Brighton,Wolves,1,0,749,758,37,62,53,43,27.08,31.25,22.22,26.54,0,0,1
2018-2019,Leicester City,West Ham,1,1,914,906,52,48,45,66,31.06,27.66,32.44,26.11,44,22,0
2018-2019,Crystal Palace,Arsenal,2,2,879,1073,51,66,53,56,27.5,25.28,54.55,25.15,11,11,0
2018-2019,Burnley,Chelsea,0,4,867,1141,46,65,65,38,25.93,24.07,53.86,24.85,14,29,-1
2018-2019,Manchester Utd,Everton,2,1,1111,952,69,52,54,49,62.77,21.49,36.24,28.71,56,22,1
2018-2019,Tottenham,Manchester City,0,1,1151,1286,62,49,98,26,42.57,25.25,44.76,23.9,33,11,-1
2018-2019,Bournemouth,Manchester Utd,1,2,963,1121,60,61,69,52,32.0,25.6,62.81,21.46,14,14,-1
2018-2019,Newcastle Utd,Watford,1,0,859,892,40,58,52,62,37.51,25.53,25.37,21.89,0,0,1
2018-2019,Everton,Brighton,3,1,960,741,54,49,37,62,36.3,28.68,26.53,30.61,33,33,1
2018-2019,West Ham,Burnley,4,2,920,853,48,66,46,65,32.51,26.08,25.77,23.93,57,14,1
2018-2019,Cardiff City,Leicester City,0,1,548,918,42,65,52,45,16.33,22.45,31.21,27.6,0,0,-1
2018-2019,Arsenal,Liverpool,1,1,1078,1179,66,81,56,29,54.5,25.22,50.15,25.52,11,44,0
2018-2019,Wolves,Tottenham,2,3,755,1154,53,43,62,49,22.09,26.38,42.63,25.22,0,0,-1
2018-2019,Manchester City,Southampton,6,1,1288,855,98,26,50,59,44.82,23.87,30.87,27.65,67,11,1
2018-2019,Chelsea,Crystal Palace,3,1,1147,873,66,38,51,53,53.91,24.83,27.42,25.21,56,0,1
2018-2019,Huddersfield,Fulham,1,0,631,704,29,68,43,73,20.41,26.53,29.9,27.33,0,0,1
2018-2019,Cardiff City,Brighton,2,1,572,717,42,65,37,62,18.0,22.0,26.0,30.0,0,0,1
2018-2019,Newcastle Utd,Bournemouth,2,1,880,942,40,58,60,61,37.58,25.5,31.75,25.4,20,20,1
2018-2019,Southampton,Watford,1,1,857,890,50,52,59,62,30.83,27.75,25.25,22.28,29,43,0
2018-2019,Leicester City,Burnley,0,0,915,856,52,46,45,65,31.14,27.75,25.61,24.39,43,14,0
2018-2019,Huddersfield,West Ham,1,1,642,909,29,48,68,65,20.0,28.0,32.48,26.17,0,0,0
2018-2019,Crystal Palace,Tottenham,0,1,868,1159,51,53,62,49,27.35,25.14,42.69,25.2,11,11,-1
2018-2019,Liverpool,Fulham,2,0,1181,702,81,29,43,73,50.2,25.49,29.84,27.27,0,0,1
2018-2019,Chelsea,Everton,0,0,1139,968,66,54,38,49,53.85,24.9,36.26,28.75,56,22,0
2018-2019,Arsenal,Wolves,1,1,1066,767,66,53,56,43,54.45,25.3,21.95,26.83,0,0,0
2018-2019,Manchester City,Manchester Utd,3,1,1297,1112,100,26,69,52,44.89,23.84,62.75,21.44,33,22,1
2018-2019,Everton,Cardiff City,1,0,971,569,54,49,42,65,36.33,28.73,17.65,21.57,0,0,1
2018-2019,Brighton,Leicester City,1,1,725,907,37,52,62,45,25.49,31.37,31.08,27.91,0,0,0
2018-2019,Fulham,Southampton,3,2,725,834,43,73,50,59,29.98,27.22,30.79,27.71,0,0,1
2018-2019,Manchester Utd,Crystal Palace,0,0,1102,878,69,51,52,53,62.69,21.52,27.27,25.34,78,11,0
2018-2019,West Ham,Manchester City,0,4,906,1300,48,65,100,26,32.44,26.14,44.96,23.82,22,11,-1
2018-2019,Watford,Liverpool,0,3,885,1186,52,62,81,29,25.12,22.17,50.25,25.47,14,14,-1
2018-2019,Tottenham,Chelsea,3,1,1174,1124,62,49,66,38,42.74,25.17,53.8,24.88,33,22,1
2018-2019,Bournemouth,Arsenal,1,2,931,1077,60,61,66,56,31.5,25.2,54.49,25.27,14,14,-1
2018-2019,Wolves,Huddersfield,0,2,745,664,53,43,29,68,21.82,26.67,21.57,27.45,0,0,-1
2018-2019,Burnley,Newcastle Utd,1,2,841,895,46,65,40,58,25.45,24.24,37.65,25.47,20,60,-1
2018-2019,Cardiff City,Wolves,2,1,592,722,42,65,53,43,19.23,21.15,21.69,26.51,0,0,1
2018-2019,Huddersfield,Brighton,1,2,651,738,29,68,37,62,21.15,26.92,26.92,30.77,33,33,-1
2018-2019,Crystal Palace,Burnley,2,0,892,827,51,53,46,65,27.47,25.27,25.3,24.1,29,14,1
2018-2019,Leicester City,Watford,2,0,922,870,52,45,52,62,31.22,27.85,25.0,22.06,57,0,1
2018-2019,Manchester City,Bournemouth,3,1,1303,928,101,26,60,61,45.02,23.79,31.25,25.0,86,0,1
2018-2019,Newcastle Utd,West Ham,0,3,880,921,40,58,48,65,37.61,25.45,32.52,26.11,57,0,-1
2018-2019,Southampton,Manchester Utd,2,2,844,1092,50,69,59,52,30.75,27.81,62.62,21.6,22,22,0
2018-2019,Chelsea,Fulham,2,0,1127,722,66,38,43,73,53.85,24.85,29.92,27.17,0,0,1
2018-2019,Arsenal,Tottenham,4,2,1097,1154,66,56,62,49,54.54,25.25,42.7,25.15,11,44,1
2018-2019,Liverpool,Everton,1,0,1193,964,81,29,54,49,50.3,25.44,36.29,28.7,33,56,1
2018-2019,West Ham,Cardiff City,3,1,925,588,48,64,42,65,32.6,26.08,18.87,20.75,0,0,1
2018-2019,Brighton,Crystal Palace,3,1,761,869,37,62,51,53,28.3,30.19,27.4,25.21,0,33,1
2018-2019,Bournemouth,Huddersfield,2,1,933,646,60,61,29,68,31.78,24.81,20.75,26.42,33,0,1
2018-2019,Watford,Manchester City,1,2,868,1305,52,62,101,26,24.88,21.95,45.09,23.76,0,0,-1
2018-2019,Fulham,Leicester City,1,1,730,914,43,52,73,45,29.86,27.31,31.16,28.0,0,0,0
2018-2019,Wolves,Chelsea,2,1,751,1098,53,43,66,38,22.16,26.35,53.79,24.83,0,0,1
2018-2019,Burnley,Liverpool,1,3,824,1196,46,65,81,29,25.15,23.95,50.34,25.42,14,14,-1
2018-2019,Everton,Newcastle Utd,1,1,960,884,54,40,49,58,36.26,28.77,37.57,25.53,71,0,0
2018-2019,Manchester Utd,Arsenal,2,2,1092,1097,69,66,52,56,62.56,21.67,54.48,25.32,44,22,0
2018-2019,Tottenham,Southampton,3,1,1159,839,62,49,50,59,42.76,25.12,30.71,27.77,56,22,1
2018-2019,Bournemouth,Liverpool,0,4,927,1202,60,61,81,29,31.54,24.62,50.39,25.39,14,14,-1
2018-2019,Burnley,Brighton,1,0,837,748,46,65,37,61,25.6,23.81,27.78,29.63,0,67,1
2018-2019,Cardiff City,Southampton,1,0,614,813,42,65,50,59,20.37,20.37,30.67,27.73,0,0,1
2018-2019,Manchester Utd,Fulham,4,1,1096,726,69,52,43,73,62.6,21.65,29.8,27.25,0,0,1
2018-2019,Arsenal,Huddersfield,1,0,1099,644,66,56,29,68,54.53,25.3,20.37,25.93,67,0,1
2018-2019,West Ham,Crystal Palace,3,2,938,856,48,64,51,53,32.67,26.05,27.32,25.14,44,33,1
2018-2019,Chelsea,Manchester City,2,0,1123,1280,66,38,101,26,53.84,24.8,45.04,23.73,22,22,1
2018-2019,Leicester City,Tottenham,0,2,908,1165,52,45,62,49,31.09,27.94,42.81,25.1,22,22,-1
2018-2019,Newcastle Utd,Wolves,1,2,862,773,40,58,53,43,37.53,25.5,22.62,26.19,0,0,-1
2018-2019,Everton,Watford,2,2,956,872,54,52,49,62,36.22,28.84,24.76,22.33,29,29,0
2018-2019,Manchester City,Everton,3,1,1284,952,101,26,54,49,45.1,23.7,36.18,28.81,33,44,1
2018-2019,Wolves,Bournemouth,2,0,796,904,53,43,60,61,23.08,26.04,31.3,24.43,0,0,1
2018-2019,Huddersfield,Newcastle Utd,0,1,637,869,29,68,40,58,20.0,25.45,37.6,25.47,33,0,-1
2018-2019,Watford,Cardiff City,3,2,878,608,52,62,42,65,25.12,22.22,20.0,20.0,0,0,1
2018-2019,Crystal Palace,Leicester City,1,0,874,890,51,53,52,45,27.52,25.07,31.03,27.88,44,11,1
2018-2019,Tottenham,Burnley,1,0,1169,833,62,49,46,65,42.87,25.07,25.44,23.67,57,29,1
2018-2019,Fulham,West Ham,0,2,719,945,43,73,48,64,29.75,27.2,32.75,26.02,0,0,-1
2018-2019,Brighton,Chelsea,1,2,745,1126,37,61,66,38,27.27,29.09,53.88,24.78,0,0,-1
2018-2019,Southampton,Arsenal,3,2,840,1072,50,59,66,56,30.76,27.7,54.47,25.27,22,22,1
2018-2019,Liverpool,Manchester Utd,3,1,1213,1085,82,29,70,52,50.44,25.37,62.54,21.63,0,33,1
2018-2019,Wolves,Liverpool,0,2,793,1216,53,43,82,29,22.94,25.88,50.49,25.34,0,0,-1
2018-2019,Arsenal,Burnley,3,1,1078,827,66,56,46,65,54.52,25.25,25.29,23.53,86,0,1
2018-2019,Chelsea,Leicester City,0,1,1101,915,66,38,52,45,53.83,24.75,31.17,27.82,56,22,-1
2018-2019,West Ham,Watford,0,2,926,897,48,64,52,62,32.71,25.99,25.48,22.12,29,14,-1
2018-2019,Bournemouth,Brighton,2,0,913,736,60,61,37,61,31.82,24.24,26.79,28.57,33,33,1
2018-2019,Newcastle Utd,Fulham,0,0,862,726,40,43,58,73,37.56,25.56,29.69,27.34,0,0,0
2018-2019,Huddersfield,Southampton,1,3,629,848,29,68,50,59,19.64,25.0,30.85,27.66,0,67,-1
2018-2019,Manchester City,Crystal Palace,2,3,1255,903,101,26,51,53,45.05,23.67,27.72,25.0,67,11,-1
2018-2019,Cardiff City,Manchester Utd,1,5,606,1087,42,65,70,52,19.64,19.64,62.57,21.61,0,0,-1
2018-2019,Everton,Tottenham,2,6,945,1176,54,49,62,49,36.15,28.78,42.93,25.05,0,33,-1
2018-2019,Fulham,Wolves,1,1,729,790,43,53,73,43,29.63,27.49,22.81,26.32,0,0,0
2018-2019,Crystal Palace,Cardiff City,0,0,892,617,51,42,53,65,27.64,25.2,19.3,21.05,0,0,0
2018-2019,Burnley,Everton,1,5,816,956,46,65,54,49,25.15,23.39,36.21,28.75,43,0,-1
2018-2019,Manchester Utd,Huddersfield,3,1,1089,627,71,51,29,68,62.61,21.59,19.3,24.56,33,0,1
2018-2019,Tottenham,Bournemouth,5,0,1182,907,63,48,60,61,42.98,25.02,31.58,24.06,71,14,1
2018-2019,Leicester City,Manchester City,2,1,943,1227,52,45,101,26,31.32,27.77,44.99,23.64,22,11,1
2018-2019,Liverpool,Newcastle Utd,4,0,1220,858,82,29,40,58,50.54,25.32,37.51,25.53,29,29,1
2018-2019,Brighton,Arsenal,1,1,748,1066,37,66,61,56,26.32,29.82,54.47,25.32,33,0,0
2018-2019,Watford,Chelsea,1,2,889,1109,52,62,66,38,25.36,22.01,53.88,24.73,14,29,-1
2018-2019,Southampton,West Ham,1,2,836,938,50,59,48,64,30.81,27.62,32.79,25.96,44,11,-1
2018-2019,Tottenham,Wolves,1,3,1153,819,64,47,53,43,42.94,25.0,23.26,26.16,50,0,-1
2018-2019,Leicester City,Cardiff City,0,1,915,645,52,45,42,65,31.25,27.71,20.69,20.69,50,0,-1
2018-2019,Watford,Newcastle Utd,1,1,888,859,52,40,62,58,25.24,22.38,37.47,25.61,67,0,0
2018-2019,Fulham,Huddersfield,1,0,740,616,43,73,29,68,29.77,27.43,18.97,24.14,0,0,1
2018-2019,Brighton,Everton,1,0,773,931,37,61,55,48,27.59,29.31,36.18,28.73,0,25,1
2018-2019,Liverpool,Arsenal,5,1,1229,1057,83,29,66,56,50.59,25.29,54.41,25.29,30,50,1
2018-2019,Crystal Palace,Chelsea,0,1,885,1116,51,53,66,38,27.57,25.14,53.92,24.71,30,0,-1
2018-2019,Southampton,Manchester City,1,3,833,1230,50,59,101,26,30.77,27.59,45.06,23.61,10,10,-1
2018-2019,Burnley,West Ham,2,0,837,917,46,65,48,64,25.58,23.26,32.75,25.93,12,12,1
2018-2019,Manchester Utd,Bournemouth,4,1,1097,899,71,51,60,61,62.65,21.57,31.34,23.88,62,12,1
2018-2019,Everton,Leicester City,0,1,914,932,55,48,52,45,36.14,28.7,31.39,27.65,40,20,-1
2018-2019,Arsenal,Fulham,4,1,1061,736,66,56,43,73,54.46,25.27,29.71,27.38,50,0,1
2018-2019,Cardiff City,Tottenham,0,3,643,1155,42,65,64,47,20.34,20.34,43.0,24.98,0,0,-1
2018-2019,Huddersfield,Burnley,1,2,609,844,29,68,46,65,18.64,23.73,26.01,23.12,0,75,-1
2018-2019,Bournemouth,Watford,3,3,898,889,60,52,61,62,31.11,24.44,25.12,22.75,12,62,0
2018-2019,Chelsea,Southampton,0,0,1105,844,66,50,38,59,53.87,24.78,30.73,27.68,60,20,0
2018-2019,West Ham,Brighton,2,2,911,779,48,37,64,61,32.72,26.01,27.12,30.51,0,0,0
2018-2019,Wolves,Crystal Palace,0,2,806,898,53,43,51,53,23.12,26.01,27.76,25.07,50,0,-1
2018-2019,Newcastle Utd,Manchester Utd,0,2,853,1103,40,58,72,51,37.43,25.58,62.68,21.55,12,25,-1
2018-2019,Manchester City,Liverpool,2,1,1246,1213,101,26,84,29,45.13,23.59,50.54,25.27,20,20,1
2018-2019,West Ham,Arsenal,1,0,934,1038,48,64,67,55,32.79,25.98,54.4,25.24,10,20,1
2018-2019,Cardiff City,Huddersfield,0,0,641,611,42,29,65,68,20.0,21.67,18.33,25.0,0,50,0
2018-2019,Burnley,Fulham,2,1,855,725,46,65,43,73,26.44,22.99,29.65,27.33,0,0,1
2018-2019,Crystal Palace,Watford,1,2,882,905,51,53,52,62,27.69,25.0,25.47,22.64,38,25,-1
2018-2019,Leicester City,Southampton,1,2,912,864,52,45,50,59,31.33,27.59,30.82,27.65,40,30,-1
2018-2019,Brighton,Liverpool,0,1,777,1215,37,61,84,29,26.67,30.0,50.59,25.24,0,0,-1
2018-2019,Chelsea,Newcastle Utd,2,1,1111,847,66,38,40,58,53.91,24.76,37.39,25.55,50,12,1
2018-2019,Everton,Bournemouth,2,0,929,883,55,48,60,61,36.2,28.67,30.88,24.26,38,25,1
2018-2019,Tottenham,Manchester Utd,0,1,1137,1121,64,47,72,51,42.95,24.95,62.72,21.53,40,10,-1
2018-2019,Manchester City,Wolves,3,0,1248,804,101,26,53,43,45.19,23.56,22.99,25.86,0,50,1
2018-2019,Wolves,Leicester City,4,3,825,891,53,43,52,45,23.43,25.71,31.26,27.54,0,0,1
2018-2019,Newcastle Utd,Cardiff City,3,0,854,634,40,58,42,65,37.46,25.52,19.67,21.31,0,50,1
2018-2019,Watford,Burnley,0,0,903,857,52,46,62,65,25.35,23.0,26.29,23.43,33,0,0
2018-2019,Manchester Utd,Brighton,2,1,1125,773,72,51,37,61,62.76,21.51,26.23,29.51,25,0,1
2018-2019,Bournemouth,West Ham,2,0,901,916,60,61,48,64,31.39,24.09,32.76,25.95,38,25,1
2018-2019,Southampton,Everton,2,1,883,910,50,59,55,48,30.91,27.61,36.17,28.64,30,20,1
2018-2019,Liverpool,Crystal Palace,4,3,1219,878,84,29,51,53,50.64,25.22,27.61,24.93,50,0,1
2018-2019,Arsenal,Chelsea,2,0,1057,1092,67,55,66,38,54.45,25.22,53.86,24.73,10,30,1
2018-2019,Huddersfield,Manchester City,0,3,610,1249,29,68,101,26,18.03,24.59,45.26,23.53,0,25,-1
2018-2019,Fulham,Tottenham,1,2,722,1140,43,73,64,47,29.59,27.27,43.01,24.93,0,0,-1
2018-2019,Wolves,West Ham,3,0,845,896,53,43,48,64,23.86,25.57,32.72,25.92,50,0,1
2018-2019,Arsenal,Cardiff City,2,1,1060,631,67,55,42,65,54.49,25.2,19.35,20.97,50,0,1
2018-2019,Huddersfield,Everton,0,1,605,915,29,68,55,48,17.74,24.19,36.23,28.61,0,25,-1
2018-2019,Fulham,Brighton,4,2,740,755,43,73,37,61,29.73,27.22,25.81,29.03,0,50,1
2018-2019,Manchester Utd,Burnley,2,2,1115,867,72,46,51,65,62.7,21.58,26.14,23.86,50,38,0
2018-2019,Newcastle Utd,Manchester City,2,1,883,1220,40,57,101,26,37.53,25.5,45.2,23.5,0,12,1
2018-2019,Southampton,Crystal Palace,1,1,883,878,50,51,59,53,30.87,27.7,27.54,25.13,60,0,0
2018-2019,Bournemouth,Chelsea,4,0,925,1068,60,61,66,38,31.88,23.91,53.81,24.71,25,0,1
2018-2019,Tottenham,Watford,2,1,1147,896,64,47,52,62,43.07,24.9,25.23,22.9,62,12,1
2018-2019,Liverpool,Leicester City,1,1,1207,903,84,52,29,45,50.59,25.29,31.2,27.69,60,10,0
2018-2019,Tottenham,Newcastle Utd,1,0,1153,877,64,47,40,57,43.12,24.88,37.49,25.47,50,0,1
2018-2019,Everton,Wolves,1,3,896,864,55,48,53,43,36.2,28.59,24.29,25.42,0,50,-1
2018-2019,Chelsea,Huddersfield,5,0,1070,603,66,38,29,68,53.85,24.68,17.46,23.81,50,25,1
2018-2019,Crystal Palace,Fulham,2,0,888,730,51,53,43,72,27.73,25.07,29.67,27.17,50,0,1
2018-2019,Brighton,Watford,0,0,761,890,37,52,61,62,25.4,30.16,25.12,23.26,25,25,0
2018-2019,Burnley,Southampton,1,1,868,882,46,50,65,59,25.99,24.29,30.83,27.8,38,25,0
2018-2019,Cardiff City,Bournemouth,2,0,658,898,42,65,61,60,20.63,20.63,31.65,23.74,0,0,1
2018-2019,Leicester City,Manchester Utd,0,1,896,1122,52,45,72,51,31.13,27.63,62.73,21.56,10,30,-1
2018-2019,Manchester City,Arsenal,3,1,1229,1051,101,26,67,55,45.27,23.47,54.44,25.17,40,30,1
2018-2019,West Ham,Liverpool,1,1,907,1196,48,84,64,29,32.68,26.01,50.54,25.37,30,10,0
2018-2019,Everton,Manchester City,0,2,892,1233,55,48,101,26,36.16,28.56,45.33,23.44,10,40,-1
2018-2019,Fulham,Manchester Utd,0,3,727,1125,43,72,72,51,29.62,27.12,62.77,21.54,0,0,-1
2018-2019,Huddersfield,Arsenal,1,2,601,1053,29,68,67,55,17.19,23.44,54.48,25.15,0,0,-1
2018-2019,Crystal Palace,West Ham,1,1,889,906,51,48,53,64,27.66,25.27,32.64,26.09,10,30,0
2018-2019,Watford,Everton,1,0,906,876,52,62,55,48,25.46,23.15,36.12,28.53,25,38,1
2018-2019,Liverpool,Bournemouth,3,0,1201,893,84,29,61,60,50.58,25.34,31.43,23.57,62,12,1
2018-2019,Southampton,Cardiff City,1,2,857,683,50,59,42,65,30.79,27.76,21.88,20.31,0,0,-1
2018-2019,Brighton,Burnley,1,3,750,879,37,61,46,65,25.0,29.69,26.4,24.16,0,50,-1
2018-2019,Tottenham,Leicester City,3,1,1159,890,64,47,52,45,43.18,24.85,31.07,27.57,50,20,1
2018-2019,Manchester City,Chelsea,6,0,1242,1061,101,26,67,37,45.4,23.42,53.8,24.66,40,20,1
2018-2019,Wolves,Newcastle Utd,1,1,865,876,53,40,43,57,24.16,25.84,37.44,25.55,50,0,0
2018-2019,West Ham,Fulham,3,1,914,719,48,64,43,72,32.72,26.06,29.56,27.06,50,0,1
